document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1750.0,119260a5e9112f0c4abbad07bce1831c__2790978afeaf634b7255705185492c2f4f37f19705b68052f353eb21cdc583cc,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning system,884,904,The Party also indicated its technology needs related to the development and implementation of climate-resilient transport infrastructure and an early warning system.,1.0,explorer
UNFCCC.non-party.1750.0,52e69a077ae7c5a03ff89d9b7a5fb0e0__16bdac1daf58738337e7975768d3cb4781b997429e384c3f45c0d08043de2ed3,HAZARD_MANAGEMENT_TECHNOLOGIES,MONITORING_SYSTEMS,Monitoring System,213,230,PNG Action Plan for Enhanced Transparency Framework on AFOLU and REDD+ National Forest Monitoring System (2022–2025).,1.0,explorer
UNFCCC.party.1761.0,0fe9e32009cab7b5bea613e21ddeeb72__ed53aa844f6052c5d4906b4a51798e6fa8a94e9f287f94b3a108a674d94caa05,HAZARD_MANAGEMENT_TECHNOLOGIES,VULNERABILITY_ASSESSMENT_TOOLS,Vulnerability Assessment,348,372,"Through Solomon Islands Integrated Vulnerability Assessment (IVA), the Solomon Islands Government has worked with regional and international partners to undertake assessments in a range of provinces and communities19.",1.0,explorer
UNFCCC.party.1761.0,0fe9e32009cab7b5bea613e21ddeeb72__ed53aa844f6052c5d4906b4a51798e6fa8a94e9f287f94b3a108a674d94caa05,HAZARD_MANAGEMENT_TECHNOLOGIES,VULNERABILITY_ASSESSMENT_TOOLS,vulnerability assessment,57,81,"From 2013, the Solomon Islands Government has undertaken vulnerability assessment and supported efforts to enhance adaptive capacity.",1.0,explorer
UNFCCC.party.1761.0,0fe9e32009cab7b5bea613e21ddeeb72__ed53aa844f6052c5d4906b4a51798e6fa8a94e9f287f94b3a108a674d94caa05,HAZARD_MANAGEMENT_TECHNOLOGIES,VULNERABILITY_ASSESSMENT_TOOLS,Vulnerability assessment,134,158,"Vulnerability assessment is complex, and while recognised at a national level, the provincial and local community level vulnerabilities and needs may be a more appropriate scale.",1.0,explorer
UNFCCC.party.1761.0,6d5e57b7debb21d97960da7c87164f95__6d5bdd46c29b01700fc3d1c61da427ba299db9ac7be8f279cb2a06abcd04b720,HAZARD_MANAGEMENT_TECHNOLOGIES,VULNERABILITY_ASSESSMENT_TOOLS,vulnerability assessments,28,53,Implement ecosystem-based vulnerability assessments and protected areas legislation.,1.0,explorer
UNFCCC.party.1761.0,d4ee6bef1cc30e2f6158a556a8935c00__fb0460f3e6b87baf7eed29ed36d88ddcf5f469481d1113bd40df28fe48516374,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning systems,121,142,Islands Meteorological Services and National Disaster Management Office to provide appropriate field instrumentation and early warning systems with special focus on regions in the country more vulnerable to extreme climate events.,1.0,explorer
UNFCCC.party.1761.0,c49d1c3cfde4917bf754e5cbcdb05200__834ee7c8cd62e4b608ffa82c9a28c4660fa14a5e1d9558a9f4e9f7339b97ecb4,HAZARD_MANAGEMENT_TECHNOLOGIES,GEOGRAPHIC_INFORMATION_SYSTEMS,GIS,57,60,"GHG inventory and trading, NFI and forest area land use (GIS)",1.0,explorer
UNFCCC.non-party.1762.0,29d769a928d33e730d40139525a46593__4dc9e7f0013f1f8d7995d4c43f93f09dc36937fa70dbe99b86967821c254e1d0,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning systems,1085,1106,"Some approaches identified extend across hazards and sectors, such as advancing ecosystem-based adaptation or nature-based solutions and multi-hazard early warning systems.",1.0,explorer
UNFCCC.non-party.1762.0,29d769a928d33e730d40139525a46593__4dc9e7f0013f1f8d7995d4c43f93f09dc36937fa70dbe99b86967821c254e1d0,AGRICULTURE_AND_LAND_MANAGEMENT_TECHNOLOGIES,CROP_INSURANCE,crop insurance,655,669,"For example, to adapt to the increasing prevalence of drought and dryness, actions range from improvements in water-use efficiency to the provision of crop insurance, both of which can bolster resilience, whereas for addressing sea level rise and for managing and restoring coastal habitats and ecosystems, providing alternative livelihoods for coastal populations and enhanced floodwater management are examples of good practice.",1.0,explorer
UNFCCC.non-party.1762.0,6d0388f198dd16609b9c6a2227e51339__3f3f7878a103ba91eee5b920316a4858412550f7e3b175b8aa634cf88a29ff50,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning systems,507,528,"For example, early warning systems can integrate data collection into developed risk profiles and help decision makers understand transboundary risks more clearly.",1.0,explorer
UNFCCC.non-party.1762.0,6d0388f198dd16609b9c6a2227e51339__3f3f7878a103ba91eee5b920316a4858412550f7e3b175b8aa634cf88a29ff50,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning systems,690,711,Initiatives to expand access to early warning systems to new areas and strengthen existing system have been launched by the Secretary- General of the United Nations.,1.0,explorer
UNFCCC.non-party.1762.0,5436fc13a188f60f033919de70f42e9b__35023496c0c75f9c068fdc36424fb5234fb3b03af98a735ba42b244fbaa204aa,HAZARD_MANAGEMENT_TECHNOLOGIES,ARTIFICIAL_REEFS,Artificial reef,31,46,"Sea wall construction, coastal Artificial reef projects
embankments",1.0,explorer
UNFCCC.non-party.1762.0,5436fc13a188f60f033919de70f42e9b__35023496c0c75f9c068fdc36424fb5234fb3b03af98a735ba42b244fbaa204aa,HAZARD_MANAGEMENT_TECHNOLOGIES,SEA_WALLS,Sea wall,0,8,"Sea wall construction, coastal Artificial reef projects
embankments",1.0,explorer
UNFCCC.non-party.1762.0,76b768e7c7b211c8c3e983b2953aca75__f5e0f3bf5581dd9dc28fdc45b830d947f3033de326de6b4bedf2ea90d8e3fd48,BUILDINGS_AND_HOMES_TECHNOLOGIES,FLOOD_AND_CYCLONE_SHELTERS,cyclone shelters,32,48,"Redesign and fortify buildings, cyclone shelters, hurricane resistance building codes",1.0,explorer
UNFCCC.non-party.1762.0,5ead06508b98912f873a3c88291838e5__3e337ef76d99ec424ce512e6fd5f17cfe584211a82fafb61c54d9900dc094bd6,HAZARD_MANAGEMENT_TECHNOLOGIES,MONITORING_SYSTEMS,monitoring systems,127,145,"Updating stormwater
management plans, storing
emergency food supplies Strengthening weather observation, emergency warning and monitoring systems",1.0,explorer
UNFCCC.non-party.1762.0,74beb88ab079722b48994237e8947132__be0f2247e819a29e5bedc46355e6842ff782eb8939a0f06b8031d74ebf560a67,HAZARD_MANAGEMENT_TECHNOLOGIES,MARINE_MONITORING,Marine monitoring,71,88,"Adopting organized
sea level rise
migration Hazard maps and models for Marine monitoring and surveillance systems",1.0,explorer
UNFCCC.non-party.1762.0,af737f411063bca1560f22348d01dc34__06707146b3b1ca77c0b425bbcbd4e284db95388ce333a8e93c61ec4f3799fb4e,AGRICULTURE_AND_LAND_MANAGEMENT_TECHNOLOGIES,CROP_INSURANCE,Crop insurance,0,14,Crop insurance,1.0,explorer
UNFCCC.non-party.1762.0,43f72a0b0d51da4c06b24cbf5d7cf91f__09e6257cda4fc03478bdbe4d0c291aabdf2e67bdd66bc9292f6f32d91348aad2,AGRICULTURE_AND_LAND_MANAGEMENT_TECHNOLOGIES,CROP_DIVERSIFICATION_AND_NEW_VARIETIES,Diversification of crops,0,24,"Diversification of crops, using Switching to drought-tolerant Garden relocations",1.0,explorer
UNFCCC.non-party.1762.0,8587ea64d82cbecfe8f109350e147003__592b33f79ae64454ad6e13da61107a64caa4d5284725472e2d61dfd34124053b,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning systems,432,453,"Parties, together with non-Party stakeholders, are working on strengthening existing efforts, including on climate risk pooling, early warning systems,",1.0,explorer
UNFCCC.non-party.1754.0,dd443eba72dc9a818b36de27d21ba69c__a45df2cb6154dc390aa88731879f7d24f3706198a7a9624420a7f04dacefcd4c,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning systems,39,60,"Ensure, by 2027, universal coverage of early warning systems, connected to longer-term risk management systems, and supported by effective risk communication and public stakeholder dialogue to prompt informed action, and by 2030 universal coverage of climate services in priority climate-sensitive sectors (agriculture and food security, health, disaster risk reduction, energy, and water).",1.0,explorer
UNFCCC.non-party.1754.0,3d7c3bd8a466f8cbe0dc1f08471737b3__0883dbb148d56ddb61fe21648af580a2256b00939952182d4544665eb3b4c5f7,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning systems,39,60,"Ensure, by 2027, universal coverage of early warning systems, connected to longer-term risk management systems, and supported by effective risk communication and public stakeholder dialogue to prompt informed action, and by 2030 universal coverage of climate services in priority climate-sensitive sectors (agriculture and food security, health, disaster risk reduction, energy, and water), by: 117",1.0,explorer
UNFCCC.non-party.1754.0,84baea9d7c09b22dabbb45578f0fee1c__acbf1b2a058b53b262e614df77e7d67758f49a1b80962e934f0b50a386e85a69,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,Early warning systems,2,23,"• Early warning systems (EWS) have been described as a proven, effective, and feasible climate adaptation measure, that save lives, reduce poverty and economic losses, and are shown to provide near a tenfold return on investment.119 According to the IPCC, early warning systems can reduce the exposure or vulnerability for most people in the world (i.e., more than 5 billion people) (high confidence).120 The COP and the CMA recognized in their Sharm el-Sheikh cover decisions that one third of the world does not have access to early warning and climate information services.",1.0,explorer
UNFCCC.non-party.1754.0,84baea9d7c09b22dabbb45578f0fee1c__acbf1b2a058b53b262e614df77e7d67758f49a1b80962e934f0b50a386e85a69,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning systems,256,277,"• Early warning systems (EWS) have been described as a proven, effective, and feasible climate adaptation measure, that save lives, reduce poverty and economic losses, and are shown to provide near a tenfold return on investment.119 According to the IPCC, early warning systems can reduce the exposure or vulnerability for most people in the world (i.e., more than 5 billion people) (high confidence).120 The COP and the CMA recognized in their Sharm el-Sheikh cover decisions that one third of the world does not have access to early warning and climate information services.",1.0,explorer
UNFCCC.non-party.1754.0,147bfbb893f8bc8e8f13ede20e91a528__4392fcc8a1b03f755bbbce2b63c7127aaa51d5e0b13d62431d76d7ed7482f441,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning systems,122,143,"• Enhancing international cooperation, coordination, action, and support for systematic observation, climate services and early warning systems can help to close fundamental data, early warning, and early action preparedness gaps that many developing countries face and that prevents them from being able to adequately and effectively engage in adaptation and climate risk management decision making and implementation processes.",1.0,explorer
UNFCCC.non-party.1754.0,2fde732a3e199128520a0853b0675212__c2c6e76c3eb04f7362b3b68ffd153aaff9857ae4982a1628db2c8cd10c91dc9f,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning systems,60,81,"• The World Meteorological Organization (WMO) has described early warning systems as “the low-hanging fruit of climate change adaptation” because they are a relatively cheap and effective way to protect people and assets from hazards.121 A wide variety of organizations, networks, funds, and others already work on different parts of the puzzle and the UNSG “Early Warnings for All” initiative is rallying them in a coordinated effort.",1.0,explorer
UNFCCC.non-party.1754.0,f93888786373b6bf53c3eb6af7d813d8__8e356a34bb89b8d78545acc9bfc57e9aae84ffd7959b3b19b18cfb69c7502fed,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning systems,155,176,"122 championed by the UNSG, has created momentum, and is convening action and support around its objective to ensure every person on Earth is protected by early warning systems within five years (i.e., by 2027).",1.0,explorer
UNFCCC.non-party.1754.0,3e7a0e79570b32c0e315daecb61ea095__6ff28cda776122decb579bf3c4e0fad68743f5d580bb97e69dad4801169f417d,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,Early warning systems,137,158,"Early warning systems will contribute to managing the threatening food and nutrition security, and the livelihoods of millions globally.",1.0,explorer
UNFCCC.non-party.1754.0,568148653bd46c3e31c9909001f0afb5__18fb4683de158fc872b128ebb0d1f205703694c3f7a4e6e6dfd324a544a12b3a,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,Early warning systems,73,94,"Early warning systems allow the identification of temperature changes, precipitation, and water-related disasters that could increase incidences of waterborne diseases such as cholera, especially in regions with limited access to safe water, sanitation, and hygiene infrastructure.",1.0,explorer
UNFCCC.non-party.1754.0,02bbe9425008c34c9ec8344c33ed0eb4__72bb79fae389f79b40eb3d0b623fa629d734f5b111db99bfb958ed94376e8695,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,Early warning systems,25,46,"• SDG 13 Climate action: Early warning systems will contribute improve the understanding on how to integrate climate change measures into national policies, strategies, and planning.",1.0,explorer
UNFCCC.non-party.1754.0,225e24a41f7ee892cfdddfbccc206b11__0befa3ad3a5ea1cb503f334fb5c4528126fc924f37073783d4d43e9cff6d8c95,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning systems,488,509,"They also acknowledged the need to enhance coordination of activities by the systematic observation community and to provide useful and actionable climate information for mitigation, adaptation and early warning systems, as well as to access information to enable understanding of adaptation limits and of attribution of extreme events.",1.0,explorer
UNFCCC.non-party.1754.0,225e24a41f7ee892cfdddfbccc206b11__0befa3ad3a5ea1cb503f334fb5c4528126fc924f37073783d4d43e9cff6d8c95,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning systems,736,757,"They also welcomed and reiterated the UNSG’s call to protect everyone on Earth through universal coverage of early warning systems within the next five years, and invited development partners, international",1.0,explorer
UNFCCC.non-party.1754.0,443386434655fa5274041c6382a24811__5c0b31836626d53dbfcdc0d3f8aa280398d5f94a7cbe113c669f272132e574fb,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning systems,147,168,• Emphasize the need to make rapid progress in addressing both the gaps in the Global Climate Observing System and the lack of universal access to early warning systems and climate services that affect developing countries in particular.,1.0,explorer
UNFCCC.non-party.1760.0,e23627d9c74fad8649c8442fb7f2f0b2__ec0b1dd2ccdf6e42c62f673ba0ea062cf0c6edb61d74a15d5f3be862831b80ed,HAZARD_MANAGEMENT_TECHNOLOGIES,MONITORING_SYSTEMS,monitoring system,16,33,national forest monitoring system,1.0,explorer
UNFCCC.non-party.1760.0,21af9d16740f830de27ca2cb253629a0__f7f92767c5554cdb4569467363ae2e8856b3d94b91000bb51bf6380bfc41f13a,HAZARD_MANAGEMENT_TECHNOLOGIES,GEOGRAPHIC_INFORMATION_SYSTEMS,geographic information system,8,37,quantum geographic information system,1.0,explorer
UNFCCC.non-party.1760.0,4c68a7aff65df696de7f11db0cdb6328__a6322fa1d410783577f94e4c887e17e4e61a2ceb70ee96ea4b5215c472e88e84,HAZARD_MANAGEMENT_TECHNOLOGIES,MONITORING_SYSTEMS,monitoring system,139,156,II.B.1 above); a description of the forest monitoring system and institutional roles and responsibilities in MRV of the results; the information necessary for reconstructing the results (as outlined in chap.,1.0,explorer
UNFCCC.non-party.1760.0,9e51470745783a853a3a29b9fe02a315__58ce9260d8e2b5e8658edf07a73a926e7bc2c0e69f6419370a3220cd751faa43,HAZARD_MANAGEMENT_TECHNOLOGIES,MONITORING_SYSTEMS,monitoring system,455,472,"Suriname’s NFMS incorporates a national sustainable forestry information system and a near-real-time monitoring system, both designed to strengthen the monitoring of AD and EFs under different logging activities, and to detect illegal logging activities.",1.0,explorer
UNFCCC.non-party.1760.0,a397728ed75941006131d2586d8b6308__92b2a1f4cb4465426f1ddc91e2639cd83f4f8c8979630d5eed6442f4df74f07f,HAZARD_MANAGEMENT_TECHNOLOGIES,MONITORING_SYSTEMS,monitoring system,110,127,"(e) Developing an NFMS, incorporating the national sustainable forestry information system and near-real-time monitoring system in order to strengthen the monitoring of AD and EFs for different logging activities, and to trace illegal logging activities;",1.0,explorer
UNFCCC.party.1758.0,d4b548a6bf83d5c29d063dff6003dfe8__0ec2ab31b385e10bb5fc550424420e72549e54e0243052b4b71f6caa2691e89a,HAZARD_MANAGEMENT_TECHNOLOGIES,VULNERABILITY_ASSESSMENT_TOOLS,VULNERABILITY ASSESSMENT,4,28,"1.5 VULNERABILITY ASSESSMENT, CLIMATE CHANGE IMPACTS AND ADAPTATION MEASURES ....................................... 36",1.0,explorer
UNFCCC.party.1758.0,fcf5de1e55858a8dfd4d5894209a1fc5__537b5e4518dbff4eee838274f88cfd436bd309c994f2c9e3e2b2aeaacf6cba1b,HAZARD_MANAGEMENT_TECHNOLOGIES,VULNERABILITY_ASSESSMENT_TOOLS,VULNERABILITY ASSESSMENT,2,26,"6 VULNERABILITY ASSESSMENT, CLIMATE CHANGE IMPACTS AND ADAPTATION MEASURES......290",1.0,explorer
UNFCCC.party.1758.0,a19282937391111cac8319ea0e930c4b__fe7d41d59032418712eda8ac5207a761fb987c02e956f53dbb494bbf11fec3d3,HAZARD_MANAGEMENT_TECHNOLOGIES,VULNERABILITY_ASSESSMENT_TOOLS,VULNERABILITY ASSESSMENT,0,24,VULNERABILITY ASSESSMENT .................................................................................................................................,1.0,explorer
UNFCCC.party.1758.0,6cc6e284fcadefaf9f2590ad11bde2b9__0f59981941bb354a34463639ce4ffa000a60d76150532922109d7259dc65a7c3,HAZARD_MANAGEMENT_TECHNOLOGIES,MONITORING_SYSTEMS,monitoring systems,76,94,Development assistance for establishment and maintenance of observation and monitoring systems..........403,1.0,explorer
UNFCCC.party.1758.0,a6382e836b497ae627c2da475acb81cd__b4f8813f29afcb14445d85b398aa9b3d5e876a2321649c850f705f07b2d8d7a5,HAZARD_MANAGEMENT_TECHNOLOGIES,VULNERABILITY_ASSESSMENT_TOOLS,VULNERABILITY ASSESSMENT,4,28,"1.5 VULNERABILITY ASSESSMENT, CLIMATE CHANGE IMPACTS AND ADAPTATION MEASURES",1.0,explorer
UNFCCC.party.1758.0,8d9f67c61404d261d59af9ca01fb4c4f__9a84a323635bd6f7bda632e330a80c7452fe1660f86c95a940ec0004fc355403,HAZARD_MANAGEMENT_TECHNOLOGIES,DIKES,dikes,505,510,"In order to assess e.g. risk of flooding, the data in the Climate Atlas needs to be combined with local data and knowledge on ground water levels, sewers, dikes etc. to complete the full impact analyses of the changing climate conditions.",1.0,explorer
UNFCCC.party.1758.0,d2da8e86452f7781cef986f71d57418c__325a5c86ba16f4d93fe2d9df906d584aac89bdea1b54e170e4a90977781c4f82,HAZARD_MANAGEMENT_TECHNOLOGIES,REMOTE_SENSING,remote sensing,534,548,"DTU (Space) monitors a significant number of essential climate variables with respect to, in particular, sea ice, sea level, ice sheets, the state of the ocean and large-scale hydrological systems using remote sensing and participates in a large number of international initiatives in this regard.",1.0,explorer
UNFCCC.party.1758.0,16d69cad926545bb5feb16bd680773cc__245f1f288e61202a8a34044ac6b0ef315f718cff08c93f7cfd8c44422a9a71e2,HAZARD_MANAGEMENT_TECHNOLOGIES,ECOSYSTEM_MONITORING,Ecosystem Monitoring,259,279,Greenland Ecosystem Monitoring (GEM) constitutes the main monitoring programme on ecosystems and climate change in Greenland.,1.0,explorer
UNFCCC.party.1758.0,65657c09cd22563e14fe3832b4c6f611__3bf29e7a02edfcff93db828cb5bc18739348cfa2c321b1721360cb23bca0c1d9,HAZARD_MANAGEMENT_TECHNOLOGIES,DIKES,dikes,141,146,"To protect low-lying land against flooding and storm surge, it has been necessary to build dikes or other permanent installations along about 1,800 km of coastline.",1.0,explorer
UNFCCC.party.1758.0,65657c09cd22563e14fe3832b4c6f611__3bf29e7a02edfcff93db828cb5bc18739348cfa2c321b1721360cb23bca0c1d9,HAZARD_MANAGEMENT_TECHNOLOGIES,BREAKWATERS,breakwaters,238,249,"In addition, sandbags, breakwaters and similar protect other parts of the coastline, which would otherwise erode because they consist of soft materials deposited during the last Ice Age.",1.0,explorer
UNFCCC.party.1758.0,654df0ae4b11050752da283f965dfff8__0e6d016fde1319fc4542c6e80b102fd6072ee2450c921f43dc0c3e08f8e8856d,WATER_MANAGEMENT_AND_CONSERVATION_TECHNOLOGIES,WATER_TREATMENT,water treatment,19,34,"There are no waste water treatment plants in Greenland, and waste water produced both on land and at sea is disposed of into the ocean.",1.0,explorer
UNFCCC.party.1758.0,a001c9b9353feb441fe1d312e80c0794__12ee8e9ffd9782bfd138e190bff975b1eb65c6005de7843b8c0ee56550e0cd3f,HAZARD_MANAGEMENT_TECHNOLOGIES,REMOTE_SENSING,remote sensing,157,171,"With the use of high-tech solutions such as remote sensing, high precision positioning systems, sensors and variable rate technologies cultivation is optimized resulting in less nitrogen leaching from the fields.",1.0,explorer
UNFCCC.party.1758.0,7bc9d6342aa2db902e82852f9108a2a8__b00ba302ca94afd0ca9eb7cd6ec011684f7ca0beaecbdf39d8fabc27c45e9244,AGRICULTURE_AND_LAND_MANAGEMENT_TECHNOLOGIES,CROP_DIVERSIFICATION_AND_NEW_VARIETIES,crop diversification,81,101,Subsidy to promote greater crop diversity in agriculture by supporting increased crop diversification and the cultivation of rotational crops that is mainly used for food and protein crops.,1.0,explorer
UNFCCC.party.1758.0,3bc4d408db546536951d2328706eb0d4__da5d20228df8d21ae3517df0cdbecc075918ac733998f50dd60612e57e641e98,AGRICULTURE_AND_LAND_MANAGEMENT_TECHNOLOGIES,WIND_BREAKS,wind breaks,51,62,3. Change in the carbon content of wood biomass in wind breaks and fruit farms.,1.0,explorer
UNFCCC.party.1758.0,9fcea0fa3ad57f4274384a95de0bbf55__a48c78278e8304465156ecd4c4a1e44c64fa664aad32a03b6c90469eed47890f,WATER_MANAGEMENT_AND_CONSERVATION_TECHNOLOGIES,WATER_TREATMENT,water treatment,285,300,These limit values are introduced to ensure that the total effluent from waste water treatment drops by 50 percent compared to today.,1.0,explorer
