row,Adaptation – Adaptation,Barriers And Challenges – Barriers,Barriers And Challenges – Challenges,Barriers And Challenges – Lessons Learned,Capacity Building – Capacity-Building,Climate Related Hazards – Environmental Degradatation,Climate Related Hazards – Extreme Weather,Climate Related Hazards – Health Hazards,Climate Related Hazards – Infrastructure Failure,Climate Related Hazards – Marine Hazards,Climate Related Hazards – Terrestrial Hazards,Deforestation – Afforestation,Deforestation – Deforestation,Deforestation – Forest-Risk Commodities,Deforestation – Forests,Deforestation – Illegal Logging,Deforestation – Rainforests,Deforestation – Reforestation,Deforestation – Revegetation,Deforestation – Tropical Forests,Deforestation – Woodlands,Equity And Just Transition – Equity And Justice,Equity And Just Transition – Gender Equality,Equity And Just Transition – Inequality & Human Rights,Equity And Just Transition – Just Transition,Equity And Just Transition – Needs-Based Approach,Financial Flows – Financial Flow,Fossil Fuels – Coal,Fossil Fuels – Fossil Fuel,Fossil Fuels – Gas,Fossil Fuels – Oil,Good Practice And Opportunities – Case Study,Good Practice And Opportunities – Good Practice,Good Practice And Opportunities – Opportunity,Good Practice And Opportunities – Success,Greenhouse Gases – Carbon Dioxide,Greenhouse Gases – Chlorofluorocarbons,Greenhouse Gases – Emissions,Greenhouse Gases – Greenhouse Gases,Greenhouse Gases – Hydrochlorofluorocarbons,Greenhouse Gases – Hydrofluorocarbons,Greenhouse Gases – Methane,Greenhouse Gases – Nitrogen Trifluoride,Greenhouse Gases – Nitrous Oxide,Greenhouse Gases – Ozone,Greenhouse Gases – Ozone-Depleting Substances,Greenhouse Gases – Perfluorocarbons,Greenhouse Gases – Sulphur Hexafluoride,International Cooperation – International Cooperation,Loss And Damage – Loss & Damage,Mitigation – Mitigation,Policy Instruments – Economic Instruments,Policy Instruments – Governance,Policy Instruments – Information And Education,Policy Instruments – Regulatory Instruments,Renewables – Bioenergy,Renewables – Geothermal Energy,Renewables – Heat Pumps,Renewables – Hydropower,Renewables – Marine Energy,Renewables – Renewable Energy (General),Renewables – Renewable Hydrogen,Renewables – Solar Energy,Renewables – Wind Energy,Response Measures – Response Measures,"Sectors – Agriculture, Forestry And Other Land Use",Sectors – Buildings,Sectors – Energy,Sectors – Fisheries & Aquaculture,Sectors – Health Services,Sectors – Industry,Sectors – Insurance & Financial Services,Sectors – Tourism,Sectors – Transport,Sectors – Water Services,Technologies (Adaptation) – Agriculture And Land Management Technologies,Technologies (Adaptation) – Buildings And Homes Technologies,Technologies (Adaptation) – Energy And Power Technologies,Technologies (Adaptation) – Hazard Management Technologies,Technologies (Adaptation) – Transport Technologies,Technologies (Adaptation) – Water Management And Conservation Technologies,Technologies (Mitigation) – Agriculture And Land Management Technologies,Technologies (Mitigation) – Buildings And Homes Technologies,Technologies (Mitigation) – Carbon Capture And Storage,Technologies (Mitigation) – Clean Technologies (General),Technologies (Mitigation) – Energy And Power Technologies,Technologies (Mitigation) – Industrial Technologies,Technologies (Mitigation) – Transport Technologies,Technologies (Mitigation) – Waste And Recycling Technologies,Vulnerable Groups – Children,Vulnerable Groups – Indigenous People,Vulnerable Groups – Local And Rural Communities,Vulnerable Groups – Migrants,Vulnerable Groups – People With Chronic Diseases,Vulnerable Groups – People With Disabilities,Vulnerable Groups – The Elderly,Vulnerable Groups – Vulnerable Groups,Vulnerable Groups – Women And Girls
Greenhouse Gases – Nitrous Oxide,22,36,33,1,0,27,20,3,0,4,0,61,21,147,405,0,0,4,1,3,0,1,0,0,1,0,124,64,90,1878,55,1,27,14,1,1821,23,6311,2804,14,589,2815,160,1161,48,22,509,561,0,0,140,67,98,52,521,225,0,0,3,0,21,0,5,4,0,1332,7,1361,19,30,988,4,0,76,469,8,0,0,1,0,12,405,1,69,0,18,0,0,62,1,1,0,0,0,0,0,0,1
Greenhouse Gases – Ozone,36,25,25,1,10,128,47,28,0,5,0,4,8,12,76,0,0,1,0,1,1,1,0,0,5,0,153,9,34,196,25,0,8,12,0,206,165,1310,1173,146,671,262,33,48,1025,690,208,174,7,0,84,43,163,86,380,31,1,6,0,0,6,0,34,1,0,349,12,586,16,87,629,19,3,45,96,0,0,0,23,0,0,3,6,5,3,15,0,1,14,11,1,3,0,0,0,4,1,0
Greenhouse Gases – Ozone-Depleting Substances,4,13,20,0,6,13,0,4,0,0,0,0,1,9,16,0,0,0,0,0,0,2,1,1,1,0,70,5,6,23,17,0,4,2,0,99,81,1347,662,74,566,73,13,21,649,455,223,132,9,0,19,38,52,59,279,10,0,2,2,0,1,0,6,0,0,117,8,444,6,9,632,11,2,6,11,0,0,0,0,0,1,7,3,1,0,0,0,0,12,1,0,0,0,0,0,0,0,3
Greenhouse Gases – Perfluorocarbons,7,11,57,0,4,7,4,2,0,0,0,4,4,23,195,0,0,3,1,0,0,3,0,1,5,0,78,14,21,452,22,0,33,3,2,774,71,3774,2354,34,2115,829,442,416,214,200,1110,1817,1,0,72,50,141,38,332,44,1,5,1,1,7,0,8,0,0,354,6,1115,1,11,1358,7,1,31,15,0,0,0,0,0,0,9,3,35,0,1,0,0,27,1,1,0,0,0,0,0,0,1
Greenhouse Gases – Sulphur Hexafluoride,19,18,65,0,6,8,3,4,0,0,0,4,2,7,198,0,0,2,1,0,0,3,0,1,9,0,87,7,27,506,11,0,38,7,17,785,63,3487,2628,42,1855,881,524,458,138,118,1827,1408,0,2,67,39,121,43,418,29,0,3,2,0,5,0,11,0,0,384,11,1265,1,21,1392,14,2,26,26,0,0,0,24,0,0,1,2,28,0,1,0,0,16,0,0,0,0,0,0,0,0,0
International Cooperation – International Cooperation,362,58,100,8,128,24,21,12,0,3,0,3,17,5,78,1,0,9,0,0,0,45,8,14,66,0,780,1,34,5,15,3,41,129,22,8,0,203,159,0,1,3,0,0,12,2,0,2,157,15,212,259,259,173,38,24,6,0,7,0,62,3,20,8,6,117,11,143,28,18,80,312,7,24,77,0,0,0,23,0,1,1,3,20,8,21,0,1,4,20,12,11,0,0,0,0,6,39
Loss And Damage – Loss & Damage,574,47,143,8,133,20,304,13,1,31,8,0,4,0,24,0,0,0,0,0,0,89,2,29,105,9,707,1,22,2,4,4,13,79,8,0,0,84,41,0,0,0,0,0,0,0,0,0,14,754,258,269,132,99,26,0,3,0,0,0,22,0,4,0,20,90,7,30,22,89,19,346,14,3,44,1,0,0,23,0,0,0,1,1,8,6,0,0,0,25,37,9,3,0,2,0,12,60
Mitigation – Mitigation,13774,1224,2832,44,1780,764,867,256,1,79,38,486,908,355,5516,10,14,538,53,25,33,499,112,199,515,8,13481,431,572,882,606,68,209,1819,296,702,5,18722,12826,4,223,801,4,135,87,25,41,52,245,230,22379,5373,6275,3518,4838,1776,103,13,233,1,2538,18,903,169,214,6179,564,6951,389,564,2614,4166,144,1297,1719,51,0,3,262,1,47,159,170,981,166,994,2,300,236,184,226,155,4,1,13,7,99,980
Policy Instruments – Economic Instruments,6306,1474,2804,40,1887,578,2505,656,24,158,117,353,691,940,4204,12,18,212,6,40,61,452,39,172,1355,7,73362,1090,1437,1348,2532,73,200,2574,416,710,7,12789,6398,10,159,371,5,72,48,31,49,42,273,275,5505,0,817,1574,1734,1899,160,142,380,25,4110,85,1696,612,178,6437,1526,11681,859,1172,6638,21318,750,4010,2280,76,9,2,286,2,97,49,288,818,492,2012,19,1150,424,254,328,257,27,0,11,18,176,629
Policy Instruments – Governance,8571,686,2141,104,1632,423,1071,179,1,86,88,131,595,456,5783,13,8,135,13,5,24,266,113,125,593,2,4757,266,173,452,551,33,454,1024,307,362,4,12019,9914,5,206,453,14,106,175,67,140,128,255,128,6321,816,0,2561,172,714,20,1,82,1,932,13,129,69,85,8167,680,5406,968,875,3845,3207,382,1330,3318,14,14,0,961,1,30,152,30,238,67,501,1,53,195,228,320,193,5,0,10,21,112,1272
Policy Instruments – Information And Education,6668,1346,1968,138,2589,548,2216,454,8,142,134,269,403,653,3891,3,15,230,12,12,41,388,211,270,1665,6,2516,241,252,511,393,142,887,2377,504,213,4,5401,3625,12,109,397,8,54,96,50,57,36,142,112,3443,1446,2410,0,5556,1383,90,37,131,22,1662,32,729,157,112,9742,1590,6276,1412,2612,3954,1574,798,2065,4724,102,12,1,833,3,158,212,208,467,193,1594,20,231,566,1748,687,484,17,1,82,90,357,3251
Policy Instruments – Regulatory Instruments,3296,1582,1454,15,249,1155,3800,722,64,287,224,425,777,1633,6956,42,13,359,24,21,78,110,53,129,542,0,3345,2262,1399,3843,4512,63,284,1516,233,1623,72,27819,12705,72,942,2439,50,537,366,276,307,440,31,29,4806,1659,170,5291,0,5089,267,285,1006,49,5190,78,3400,896,24,12107,5817,24999,1450,1429,8984,994,496,6995,8324,128,20,1,615,4,406,954,754,1144,181,3442,33,1150,1386,203,202,151,14,0,25,42,64,469
Renewables – Bioenergy,368,402,527,14,82,529,383,36,2,35,26,321,751,1203,8046,20,64,201,4,61,59,10,1,9,143,0,3999,1098,1152,2226,4053,12,96,552,54,1159,0,11950,6195,0,53,1434,7,243,38,8,37,22,19,1,1783,1959,740,1317,5080,21772,345,156,724,58,2772,35,1643,572,12,7308,199,10070,246,102,3634,125,31,1368,936,38,0,1,100,0,73,299,289,1546,53,963,22,297,458,31,59,48,0,0,3,0,11,85
Renewables – Geothermal Energy,18,11,43,3,19,4,23,2,0,0,0,3,1,4,16,0,0,1,0,0,1,0,4,3,8,0,412,126,54,110,160,0,2,41,11,28,0,241,238,0,1,9,0,0,1,0,0,3,4,1,93,173,27,84,264,348,623,56,182,40,509,6,455,147,0,40,50,771,12,0,75,42,1,23,106,0,0,0,3,0,4,3,69,38,10,76,0,4,8,0,5,9,0,0,0,0,3,7
Renewables – Heat Pumps,2,26,20,0,1,5,3,0,0,2,0,0,0,0,12,0,0,0,0,0,0,3,0,1,12,0,419,31,55,61,85,0,1,49,2,15,5,123,198,0,9,3,0,0,3,3,0,2,0,0,13,128,1,35,258,125,67,291,8,2,115,5,130,20,0,8,174,431,1,0,100,12,0,13,30,0,0,1,2,0,1,1,709,21,4,155,2,27,3,1,0,0,0,0,0,0,1,0
Renewables – Hydropower,167,59,98,0,28,27,345,9,3,6,18,5,31,25,203,0,0,11,0,0,3,0,0,0,15,0,663,347,190,246,451,6,4,92,5,45,0,776,632,0,2,29,0,6,1,0,1,8,9,1,275,400,86,134,987,717,199,6,1652,21,1074,12,797,385,0,226,24,2092,29,9,174,63,20,89,906,0,3,0,20,0,23,3,30,34,8,191,0,13,10,1,13,13,0,0,0,1,4,5
Renewables – Marine Energy,14,13,13,0,1,15,52,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,50,6,2,2,13,0,0,14,5,2,0,27,31,0,2,1,0,1,0,0,1,2,2,0,8,29,8,13,70,56,19,4,16,135,77,0,64,44,1,18,1,144,47,0,3,0,4,9,22,0,0,0,9,0,0,1,5,5,0,10,0,0,1,0,1,1,0,0,0,0,0,0
Renewables – Renewable Energy (General),1043,431,606,36,306,108,193,120,8,12,10,60,109,100,842,0,3,70,12,4,5,135,18,34,421,0,10168,1167,1339,1037,1280,20,92,1273,148,265,0,5335,3763,1,40,152,0,23,9,1,4,4,97,21,2588,3993,1011,1729,5051,2892,484,133,1057,84,10554,123,3711,1308,36,655,620,12906,84,91,973,1091,43,1085,589,3,1,1,55,1,43,19,329,465,221,1750,12,370,159,95,150,115,0,0,4,3,36,359
Renewables – Renewable Hydrogen,2,13,13,0,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,2,0,111,13,21,30,14,0,3,47,4,6,0,100,53,0,1,2,0,0,0,0,0,0,1,0,20,97,11,28,92,33,11,0,4,0,136,227,37,5,0,7,1,224,0,0,108,5,0,62,6,0,0,0,0,0,0,0,2,15,9,33,1,21,2,0,0,0,0,0,0,0,0,1
Renewables – Solar Energy,222,192,283,17,62,65,208,29,21,12,6,21,20,46,208,0,0,14,0,0,3,24,0,4,106,0,3996,488,405,479,895,25,11,421,88,175,2,1582,1425,1,15,71,10,10,34,5,8,11,21,3,1014,1825,146,691,3212,1718,443,158,836,81,3590,29,10235,1593,1,429,587,5954,31,109,479,335,26,222,653,5,0,2,27,0,51,6,348,121,60,1049,1,187,47,35,48,62,1,0,0,1,10,160
Renewables – Wind Energy,36,71,59,5,18,25,56,8,0,1,1,10,6,4,65,0,0,1,0,0,6,9,1,0,37,0,1161,252,127,135,184,9,9,139,18,32,0,445,416,0,1,17,0,5,2,0,0,0,6,0,173,564,65,195,855,602,136,12,360,49,1283,13,1516,2498,1,102,45,1922,13,4,164,71,6,68,59,0,0,0,13,0,5,0,50,39,16,242,1,53,12,7,15,14,0,0,0,1,1,43
Response Measures – Response Measures,153,31,64,0,17,12,24,7,0,0,1,1,1,11,20,0,0,1,0,0,0,8,1,61,221,0,120,8,34,5,91,28,10,36,6,20,0,70,100,0,0,1,0,0,3,0,0,0,15,12,281,158,72,134,34,13,0,0,2,0,39,0,0,1,298,49,6,85,5,21,94,110,10,19,16,0,0,0,8,0,0,0,1,19,0,10,0,2,2,4,3,9,0,0,0,0,20,9
"Sectors – Agriculture, Forestry And Other Land Use",7418,1580,2559,37,625,3918,9644,500,9,765,459,1573,4919,7047,41329,111,197,1257,72,242,413,183,66,159,1579,0,11183,1268,441,2345,1210,168,785,1787,344,2595,21,39581,15543,20,669,4125,110,1364,334,131,373,423,115,82,6257,6604,8365,9917,11928,7553,43,4,189,10,681,6,448,114,48,0,109,6263,6381,1033,9681,1105,712,88,12059,301,41,0,1568,0,249,2376,62,1824,59,688,3,38,299,378,901,458,22,0,8,20,174,1176
Sectors – Buildings,1021,210,387,3,113,81,838,27,9,111,52,5,6,24,18,0,0,1,3,0,7,41,4,25,105,0,3101,95,160,305,182,24,57,376,58,134,0,2763,1588,4,62,60,0,8,11,4,5,18,7,11,572,1478,660,1698,5583,182,52,187,21,0,611,3,576,46,1,117,0,6101,0,6,1295,531,21,618,885,0,5,1,85,0,11,0,500,39,33,1434,5,93,95,43,39,28,14,0,1,2,27,64
Sectors – Energy,2004,1257,1799,37,591,639,877,295,61,84,48,151,333,569,2952,6,11,134,19,3,9,225,33,85,797,1,21203,4703,4125,9914,10024,68,302,2288,308,3844,143,47993,30831,133,2663,6512,273,1319,615,408,1214,1314,151,37,6782,11561,5148,6324,24289,9952,817,413,2129,124,12963,250,6076,1914,85,6242,5797,0,171,334,19740,1846,0,6704,8482,9,6,4,160,2,99,212,1080,1712,520,5075,21,1625,1295,202,224,162,3,0,7,15,83,567
Sectors – Fisheries & Aquaculture,1547,337,471,8,87,551,1308,77,0,772,23,27,57,383,1209,3,12,31,2,8,9,25,18,17,431,0,1761,45,27,83,186,47,48,401,84,131,0,1298,518,1,12,100,0,31,16,2,0,2,27,38,413,892,1087,1442,1388,270,10,1,19,51,71,0,44,13,3,6124,3,167,0,334,78,19,784,193,1857,5,5,0,323,0,31,13,4,153,5,78,0,0,31,55,174,92,13,0,1,6,34,214
Sectors – Health Services,1804,291,687,7,87,320,1759,2736,5,83,85,19,44,41,127,3,3,4,0,2,0,228,109,306,665,3,2471,23,62,66,45,25,29,370,65,55,3,1014,520,1,22,77,3,32,118,12,8,17,20,75,584,1261,929,2564,1435,82,2,1,4,0,90,0,103,9,17,1050,3,347,326,0,19,421,69,33,1397,4,2,0,224,0,20,2,25,17,24,102,0,2,78,918,150,86,39,5,127,216,225,1241
Sectors – Industry,1497,760,1127,25,228,182,462,192,11,78,39,76,281,1840,2888,23,4,77,2,10,37,121,24,59,1212,0,8905,3174,1603,3485,4826,45,303,1368,183,2717,123,34165,17157,121,2382,3029,287,956,605,598,1409,1429,74,12,2626,6969,3795,3892,8759,3702,81,73,218,5,982,119,451,188,84,9476,1288,19766,59,27,0,1533,99,1884,1618,6,3,2,93,0,58,86,168,1292,267,1009,56,129,1022,158,146,72,14,0,6,2,48,407
Sectors – Insurance & Financial Services,6422,1111,2354,47,2354,161,1178,363,3,70,40,37,212,93,989,1,12,48,0,13,12,459,54,168,731,15,40676,228,469,122,251,57,211,1522,288,119,0,4251,2456,0,29,65,2,9,16,11,4,9,324,337,4211,21099,3432,1670,952,156,52,11,68,0,1114,16,358,88,112,1146,513,2041,6,411,1542,0,82,367,447,32,3,0,242,1,11,8,54,176,192,443,3,107,80,160,216,141,14,0,10,2,153,659
Sectors – Tourism,606,106,163,0,45,208,866,206,1,221,96,20,13,53,454,2,3,15,1,5,2,3,5,19,152,0,1362,5,4,4,58,24,22,187,25,17,0,329,197,0,5,10,0,3,5,2,1,1,10,11,128,742,343,775,559,24,4,0,22,10,46,0,40,1,9,699,18,0,783,66,133,89,0,514,500,2,1,0,136,0,18,3,0,24,0,28,0,6,25,69,39,40,2,0,3,5,14,96
Sectors – Transport,440,373,500,7,83,153,693,369,11,73,86,20,28,53,296,0,5,16,11,0,3,36,17,21,198,0,6465,257,661,1026,3334,15,50,641,74,864,0,13902,5278,0,68,362,14,82,40,10,26,20,28,0,1316,3794,1333,1942,6823,1293,15,16,71,2,1105,60,249,53,10,68,598,6814,162,29,1875,360,524,0,179,1,1,0,98,4,5,9,53,204,99,1299,2,2174,90,36,17,21,6,0,9,7,14,129
Sectors – Water Services,4160,755,1470,23,295,1519,9588,828,22,759,656,126,203,338,1753,3,12,80,4,17,22,76,45,128,513,1,4805,277,153,1332,205,91,159,851,120,444,13,9671,3915,2,67,2103,5,422,96,5,23,33,70,46,1751,2165,3363,4787,8272,902,113,23,1027,26,496,9,599,68,19,12306,885,8226,1809,1385,1543,417,467,175,0,63,97,0,797,1,740,983,112,228,21,609,2,16,1161,238,126,149,9,0,13,28,120,594
Technologies (Adaptation) – Agriculture And Land Management Technologies,74,19,25,0,2,60,108,4,0,0,1,12,8,57,150,0,0,11,0,0,0,2,0,1,23,0,91,2,2,0,1,2,1,13,9,4,0,69,26,0,0,4,0,2,0,0,0,0,1,0,50,74,12,106,115,43,0,0,0,0,5,0,2,0,0,310,0,8,5,1,5,33,1,0,55,90,0,0,19,0,8,15,0,10,0,11,0,0,3,1,14,7,0,0,0,0,3,4
Technologies (Adaptation) – Buildings And Homes Technologies,15,5,5,0,1,5,63,0,0,7,0,0,1,0,5,0,0,0,0,0,0,0,0,0,4,0,36,0,0,0,1,0,1,5,2,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,13,16,13,17,2,0,0,1,0,2,0,0,0,0,46,2,4,0,3,4,3,2,0,108,0,21,0,14,0,7,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0
Technologies (Adaptation) – Energy And Power Technologies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Technologies (Adaptation) – Hazard Management Technologies,1657,142,216,10,140,175,1283,94,2,139,55,27,183,47,1394,3,3,25,7,12,3,4,2,6,102,0,840,30,6,25,38,19,21,136,33,30,0,594,393,0,0,46,1,3,15,0,0,31,35,17,292,287,942,807,661,89,2,0,21,4,64,0,36,14,6,1400,80,162,297,212,75,229,152,103,747,16,11,0,1384,0,22,9,5,29,6,68,0,11,17,17,28,30,2,0,3,4,25,75
Technologies (Adaptation) – Transport Technologies,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,5,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,1,0,10,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1
Technologies (Adaptation) – Water Management And Conservation Technologies,134,19,38,1,17,33,191,11,0,7,4,7,5,18,81,0,0,11,1,0,1,0,1,0,10,0,232,11,15,51,26,3,2,35,9,14,0,271,104,0,0,58,0,10,1,0,0,0,0,0,47,92,26,163,360,43,0,0,21,0,34,2,44,0,0,217,5,78,15,11,45,7,9,8,663,8,7,0,16,0,216,9,6,13,2,52,2,3,71,4,7,5,0,0,0,0,0,11
Technologies (Mitigation) – Agriculture And Land Management Technologies,37,27,59,0,1,25,47,2,0,0,0,29,30,774,340,0,0,27,17,2,3,0,0,0,3,0,91,12,15,534,18,0,32,22,2,136,0,4664,853,0,9,1091,2,387,2,2,5,8,0,0,173,52,177,219,924,306,2,0,3,0,20,0,5,1,0,2482,0,206,13,3,95,14,2,5,1015,16,0,0,9,0,14,1274,2,48,3,30,0,3,7,2,2,3,0,0,0,0,0,6
Technologies (Mitigation) – Buildings And Homes Technologies,46,49,30,0,29,24,33,0,4,1,0,17,18,4,70,0,1,19,9,0,0,3,0,1,26,0,675,50,77,121,145,1,12,131,14,36,3,384,385,0,24,10,0,4,4,2,2,3,2,5,188,253,28,194,772,305,70,680,30,0,336,7,343,38,0,75,444,1096,5,18,165,58,2,63,139,1,0,1,9,0,9,2,445,29,8,641,2,50,16,7,7,18,1,0,0,0,4,21
Technologies (Mitigation) – Carbon Capture And Storage,271,235,263,13,32,162,170,17,1,29,12,350,253,158,2174,1,8,255,27,15,33,12,2,9,83,0,1987,421,334,334,316,5,27,463,72,1363,0,3249,1491,0,43,162,9,59,0,1,36,35,19,0,955,808,216,437,1126,1565,44,9,27,4,452,23,114,45,14,1759,36,1775,128,9,1269,141,33,235,248,17,0,2,17,0,12,33,19,4222,66,189,9,47,89,4,30,24,0,0,0,1,3,9
Technologies (Mitigation) – Clean Technologies (General),87,56,89,1,32,11,7,9,0,0,0,5,3,10,51,0,1,3,0,0,0,16,0,0,52,0,1350,34,37,30,66,4,6,184,26,12,0,783,244,0,6,14,0,0,0,0,0,0,12,7,136,503,70,172,210,83,4,8,11,1,266,8,69,23,3,66,31,486,8,11,303,206,0,104,34,0,0,0,2,0,3,8,13,67,238,120,1,38,8,12,34,7,0,0,0,0,2,19
Technologies (Mitigation) – Energy And Power Technologies,482,333,440,9,126,90,268,47,8,10,13,42,62,89,518,1,0,33,0,0,3,33,6,10,116,0,4339,383,297,472,574,7,79,734,86,180,5,3207,1818,7,35,98,0,29,9,4,1,0,19,4,989,1965,505,1445,3400,970,103,204,204,7,1774,36,1026,216,7,703,1410,5086,73,104,979,474,25,1302,619,20,2,2,65,1,56,25,643,164,89,4968,8,805,287,50,48,49,1,0,2,4,15,98
Technologies (Mitigation) – Industrial Technologies,1,2,6,0,1,0,0,1,0,0,0,1,0,5,17,0,0,0,0,0,0,0,0,0,0,0,14,2,3,4,0,0,3,11,0,2,0,27,11,0,0,2,0,0,0,0,1,0,3,0,0,14,4,17,19,12,0,0,0,0,10,7,4,1,0,6,0,25,0,0,62,3,0,0,1,0,0,0,0,0,1,0,2,8,2,10,17,2,8,0,0,1,0,0,0,0,0,2
Technologies (Mitigation) – Transport Technologies,29,118,96,1,15,22,18,52,2,0,0,4,4,11,22,0,0,2,1,0,1,5,0,2,77,0,3059,35,91,182,395,8,7,150,20,150,0,1360,421,0,7,12,0,4,2,0,0,0,1,0,282,1130,38,230,1134,236,6,24,19,0,269,12,154,44,1,18,82,1516,0,3,159,121,7,2086,10,0,0,0,8,0,3,1,41,39,33,866,1,2656,17,1,6,5,0,0,3,0,3,5
Technologies (Mitigation) – Waste And Recycling Technologies,42,99,92,0,30,15,50,4,0,0,1,13,22,62,138,0,4,2,0,2,0,1,2,0,43,0,984,64,92,243,91,1,30,110,15,98,1,2198,890,3,27,368,0,46,16,5,13,6,6,0,312,416,164,539,1337,408,2,3,20,0,165,2,54,17,5,328,81,1283,21,86,1057,74,15,93,1148,3,0,0,16,0,104,8,11,87,9,273,4,23,1880,19,8,13,0,0,0,0,1,10
Vulnerable Groups – Children,440,77,281,1,98,119,315,436,0,20,11,14,17,28,192,0,1,7,0,1,3,156,98,148,367,3,800,14,24,16,16,0,21,398,45,11,1,220,131,0,0,5,0,1,5,0,0,0,14,12,174,274,231,1821,226,61,0,1,7,0,98,0,42,8,6,360,39,217,58,996,153,183,58,40,230,1,0,0,16,1,5,1,8,8,11,45,0,6,16,2720,248,123,27,1,148,203,208,1673
Vulnerable Groups – Indigenous People,751,107,222,13,86,135,243,48,1,20,13,49,104,100,806,1,24,26,0,7,26,180,58,132,306,1,641,36,56,43,102,14,37,311,58,19,0,340,173,0,0,19,0,0,0,1,1,0,15,46,230,288,286,651,195,91,3,0,13,0,133,2,65,11,5,981,41,239,148,193,164,168,33,21,165,16,0,0,27,0,8,1,2,35,45,54,2,7,4,269,2623,577,22,0,58,21,148,662
Vulnerable Groups – Local And Rural Communities,416,39,132,3,63,47,217,18,1,11,19,30,85,46,518,0,1,40,0,3,2,71,22,40,224,0,543,17,28,15,52,5,35,174,42,10,0,132,87,0,0,6,0,1,1,0,0,0,7,5,186,220,185,503,134,83,7,3,15,0,115,0,61,16,7,506,33,164,68,89,78,128,21,23,128,2,1,0,28,0,9,3,15,15,14,59,1,6,12,99,499,245,15,0,22,1,64,228
Vulnerable Groups – Migrants,28,7,8,0,0,17,33,8,0,0,0,0,1,0,3,0,0,0,0,0,0,26,14,27,37,0,92,0,0,1,1,0,0,27,4,0,0,12,3,0,0,0,0,0,0,0,0,0,0,2,5,28,6,12,8,0,0,0,2,0,0,0,4,0,0,27,14,8,17,35,11,6,6,4,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,52,35,14,74,0,21,7,21,63
Vulnerable Groups – People With Chronic Diseases,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,2,4,4,4
Vulnerable Groups – People With Disabilities,35,8,5,0,3,0,20,10,0,0,0,0,0,0,4,0,0,0,0,0,0,38,21,52,39,0,31,3,1,0,1,0,0,17,0,2,0,8,4,0,0,0,0,0,0,0,0,0,0,2,18,10,19,77,16,1,0,0,0,0,1,0,0,0,4,5,2,10,1,107,7,7,2,8,3,0,0,0,1,0,0,0,0,0,1,0,0,3,0,130,52,21,21,2,67,35,65,171
Vulnerable Groups – The Elderly,46,8,26,0,0,14,116,70,0,7,2,0,1,4,7,0,0,0,0,0,0,6,3,25,49,0,68,1,2,0,1,0,2,15,2,1,0,17,6,0,0,0,0,0,5,0,0,0,0,2,5,24,12,100,40,2,0,0,0,0,1,0,0,0,0,26,5,6,2,235,2,9,5,4,25,0,0,0,3,0,0,0,0,0,0,2,0,0,0,199,21,12,6,2,50,136,67,182
Vulnerable Groups – Vulnerable Groups,507,34,118,5,28,53,260,55,0,11,4,6,7,19,69,0,0,4,0,1,0,95,47,97,317,0,533,8,26,2,18,3,9,98,17,8,0,99,61,0,0,0,0,0,0,0,0,0,4,13,115,182,121,328,70,23,1,1,3,0,41,0,8,0,34,162,26,74,24,240,30,133,17,18,104,0,0,0,40,1,2,0,3,6,2,22,0,0,1,188,117,52,17,1,64,70,183,542
Vulnerable Groups – Women And Girls,2727,446,586,31,385,210,535,268,2,13,19,12,61,59,454,0,0,8,1,0,2,822,2204,1458,1047,1,2114,11,29,13,65,25,71,951,123,13,0,301,299,0,2,4,0,0,3,7,0,1,41,43,1069,643,1243,3290,438,89,5,0,17,0,391,1,186,33,9,1126,77,539,183,1291,427,710,102,109,588,3,1,1,57,2,17,3,21,9,14,95,1,5,13,1639,569,265,46,0,155,176,499,17258
